,Date,Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
0,2016-01-26,0.0,0.0,0.0,0.0,0.0,-36.87,-50.73,-294.94,7.05,7.6,4.65,-0.327773153,-2.8723413110000005,-5.0350537630000005,-21.50494277
1,2016-01-27,0.0,0.0,0.2,0.0,0.0,-36.87,-50.74,-294.98,7.55,8.1,6.7,-0.327773153,-2.8723413110000005,-5.0350537630000005,-21.50494277
2,2016-01-28,0.0,0.0,0.0,0.0,0.0,-36.88,-50.74,-295.02,6.85,5.8,5.55,-0.327773153,-2.8723413110000005,-5.0350537630000005,-21.50494277
3,2016-01-29,0.0,0.0,0.0,0.0,0.0,-36.88,-50.74,-295.06,6.75,7.8,5.05,-0.327773153,-2.8723413110000005,-5.0350537630000005,-21.50494277
4,2016-01-30,0.0,0.0,0.0,0.0,0.0,-36.89,-50.75,-295.09,6.35,5.95,4.6,-0.327773153,-2.8723413110000005,-5.0350537630000005,-21.50494277
5,2016-01-31,0.0,0.0,0.0,0.0,0.0,-36.89,-50.75,-295.12,8.5,7.95,6.95,-0.311384495,-2.728724246,-4.783301075,-20.42969563
6,2016-02-01,0.0,0.0,0.0,0.2,0.0,-36.89,-50.75,-295.15,9.25,8.6,8.05,-0.348571429,-3.001194581,0.0,-24.64413793
7,2016-02-02,0.0,0.0,0.2,0.2,0.0,-36.9,-50.76,-295.19,7.5,7.05,6.0,-0.348571429,-3.001194581,0.0,-24.64413793
8,2016-02-03,0.0,0.8,2.4,1.2,0.6,-36.9,-50.75,-295.22,5.5,5.4,5.25,-0.348571429,-3.001194581,0.0,-24.64413793
9,2016-02-04,0.0,5.0,3.2,6.4,0.0,-36.9,-50.76,-295.24,2.8,2.7,2.5,-0.348571429,-3.001194581,0.0,-24.64413793
10,2016-02-05,0.0,2.8,0.0,0.0,1.0,-36.91,-50.76,-295.28,5.4,4.85,4.45,-0.348571429,-3.001194581,0.0,-24.64413793
11,2016-02-06,0.0,0.0,0.0,0.0,0.0,-36.91,-50.77,-295.32,6.05,3.7,4.0,-0.348571429,-3.001194581,0.0,-24.64413793
12,2016-02-07,0.0,1.0,0.0,1.2,0.6,-36.91,-50.77,-295.35,5.6,5.8,5.05,-0.331142857,-2.851134852,0.0,-23.41193103
13,2016-02-09,0.0,0.0,0.0,0.0,0.0,-36.91,-50.77,-295.41,6.55,6.95,5.45,-0.348571429,-3.001194581,0.0,-24.64413793
14,2016-02-10,24.8,44.7,41.2,49.0,31.4,-36.9,-50.76,-295.42,5.0,5.2,4.4,-0.348571429,-3.001194581,0.0,-24.64413793
15,2016-02-11,4.4,20.5,8.0,10.0,6.4,-36.9,-50.76,-295.44,3.35,4.1,3.4,-0.348571429,-3.001194581,0.0,-24.64413793
16,2016-02-12,0.0,0.0,0.0,0.0,2.8,-36.9,-50.76,-295.46,6.9,7.25,5.25,-0.348571429,-3.001194581,0.0,-24.64413793
17,2016-02-13,6.4,15.5,11.2,16.8,10.6,-36.9,-50.76,-295.47,7.3,7.6,6.7,-0.348571429,-3.001194581,0.0,-24.64413793
18,2016-02-14,8.2,8.2,12.4,11.0,7.8,-36.9,-50.76,-295.49,8.15,8.85,7.3,-0.331142857,-2.851134852,0.0,-23.41193103
19,2016-02-15,12.8,12.0,17.2,15.4,15.2,-36.9,-50.77,-295.49,5.45,5.45,4.55,-0.348571429,-3.001194581,0.0,-24.64413793
20,2016-02-16,51.4,61.7,51.2,75.8,58.8,-36.88,-50.75,-295.52,7.15,8.25,6.6,-0.348571429,-3.001194581,0.0,-24.64413793
21,2016-02-17,15.2,13.2,11.4,13.8,24.0,-36.87,-50.75,-295.55,5.55,5.65,5.05,-0.348571429,-3.001194581,0.0,-24.64413793
22,2016-02-18,19.4,14.8,19.8,18.2,20.2,-36.87,-50.74,-295.58,4.85,4.9,5.1,-0.348571429,-3.001194581,0.0,-24.64413793
23,2016-02-19,0.0,0.0,0.0,0.0,0.0,-36.88,-50.75,-295.59,5.2,4.05,3.8,-0.348571429,-3.001194581,0.0,-24.64413793
24,2016-02-20,0.6,2.3,0.2,1.6,0.2,-36.89,-50.76,-295.6,4.1,5.0,4.1,-0.348571429,-3.001194581,0.0,-24.64413793
25,2016-02-21,0.0,0.0,0.0,0.0,0.0,-36.9,-50.77,-295.63,6.65,6.2,5.5,-0.331142857,-2.851134852,0.0,-23.41193103
26,2016-02-22,0.0,0.0,0.0,0.0,0.0,-36.91,-50.78,-295.66,8.6,7.75,8.6,-0.348571429,-3.001194581,0.0,-24.64413793
27,2016-02-23,1.4,2.4,3.0,3.2,2.2,-36.92,-50.78,-295.68,8.0,8.2,7.3,-0.348571429,-3.001194581,0.0,-24.64413793
28,2016-02-24,0.4,0.2,0.2,0.6,0.0,-36.93,-50.79,-295.66,7.35,7.05,6.45,-0.348571429,-3.001194581,0.0,-24.64413793
29,2016-02-25,0.0,0.0,0.0,0.0,0.0,-36.93,-50.79,-295.68,7.05,6.45,5.5,-0.348571429,-3.001194581,0.0,-24.64413793
30,2016-02-26,3.4,11.2,10.0,12.4,11.0,-36.94,-50.8,-295.68,5.7,5.95,5.45,-0.348571429,-3.001194581,0.0,-24.64413793
31,2016-02-27,23.0,56.8,45.4,55.0,10.4,-36.93,-50.79,-295.7,5.0,5.65,4.65,-0.348571429,-3.001194581,0.0,-24.64413793
32,2016-02-28,45.8,47.6,49.2,52.8,59.2,-36.88,-50.76,-295.71,6.35,7.1,5.5,-0.331142857,-2.851134852,0.0,-23.41193103
33,2016-02-29,40.6,55.2,39.6,70.2,47.4,-36.82,-50.71,-295.67,5.0,5.4,4.4,-0.348571429,-3.001194581,0.0,-24.64413793
34,2016-03-01,14.0,11.0,13.6,14.4,0.4,-36.79,-50.69,-295.66,6.5,5.5,5.25,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
35,2016-03-02,1.0,0.0,1.0,0.0,10.0,-36.79,-50.69,-295.68,7.7,6.3,5.45,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
36,2016-03-03,4.0,4.8,4.2,6.8,30.6,-36.8,-50.69,-295.65,3.25,3.3,2.6,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
37,2016-03-04,0.0,1.6,0.0,0.0,5.2,-36.82,-50.71,-295.58,4.5,3.45,3.9,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
38,2016-03-05,0.0,0.0,0.0,0.0,0.2,-36.84,-50.72,-295.59,4.45,4.05,4.15,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
39,2016-03-06,27.2,24.1,16.0,29.6,20.0,-36.85,-50.73,-295.56,3.85,3.25,2.45,-0.321950993,-2.7159156330000003,-4.894062903,-20.55872164
40,2016-03-07,6.0,7.4,9.8,7.2,0.0,-36.86,-50.74,-295.54,3.45,2.3,2.35,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
41,2016-03-08,0.8,0.4,0.8,0.2,0.0,-36.87,-50.75,-295.51,2.6,1.6,1.45,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
42,2016-03-09,11.2,5.6,7.8,15.8,17.2,-36.88,-50.75,-295.51,1.35,2.4,1.25,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
43,2016-03-10,2.8,18.8,0.6,6.6,25.2,-36.89,-50.76,-295.49,3.9,5.15,3.45,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
44,2016-03-11,1.2,1.4,0.0,1.0,10.6,-36.9,-50.77,-295.48,5.35,6.2,4.7,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
