,Date,Rainfall_Terni,Flow_Rate_Lupa
0,2009-02-19,2.763,-166.02
1,2009-02-20,2.763,-166.97
2,2009-02-21,2.763,-167.72
3,2009-02-22,2.763,-168.65
4,2009-02-23,2.763,-169.42
5,2009-02-24,2.763,-170.21
6,2009-02-25,2.763,-171.1
7,2009-02-26,2.763,-171.69
8,2009-02-27,2.763,-172.07
9,2009-02-28,2.763,-172.33
10,2009-03-01,2.076,-172.68
11,2009-03-02,2.076,-172.88
12,2009-03-03,2.076,-173.15
13,2009-03-04,2.076,-173.55
14,2009-03-05,2.076,-173.83
15,2009-03-06,2.076,-175.7
16,2009-03-07,2.076,-176.86
17,2009-03-08,2.076,-177.86
18,2009-03-09,2.076,-178.9
19,2009-03-10,2.076,-180.08
20,2009-03-11,2.076,-180.45
21,2009-03-12,2.076,-181.34
22,2009-03-13,2.076,-181.77
23,2009-03-14,2.076,-181.71
24,2009-03-15,2.076,-181.83
25,2009-03-16,2.076,-181.8
26,2009-03-17,2.076,-181.9
27,2009-03-18,2.076,-181.86
28,2009-03-19,2.076,-182.02
29,2009-03-20,2.076,-182.14
30,2009-03-21,2.076,-182.31
31,2009-03-22,2.076,-182.13
32,2009-03-23,2.076,-182.04
33,2009-03-24,2.076,-182.0
34,2009-03-25,2.076,-182.03
35,2009-03-26,2.076,-181.87
36,2009-03-27,2.076,-181.64
37,2009-03-28,2.076,-181.4
38,2009-03-29,2.076,-180.9
39,2009-03-30,2.076,-180.61
40,2009-03-31,2.076,-180.42
41,2009-04-01,2.79,-180.18
42,2009-04-02,2.79,-179.95
43,2009-04-03,2.79,-179.92
44,2009-04-04,2.79,-179.89
45,2009-04-05,2.79,-179.94
46,2009-04-06,2.79,-180.3
47,2009-04-07,2.79,-180.43
48,2009-04-08,2.79,-180.45
49,2009-04-09,2.79,-180.46
50,2009-05-30,1.139,-157.37
51,2009-05-31,1.139,-156.32
52,2009-06-01,3.062,-156.61
53,2009-06-02,3.062,-156.68
54,2009-06-03,3.062,-156.36
55,2009-06-04,3.062,-155.79
56,2009-06-05,3.062,-155.1
57,2009-06-06,3.062,-154.31
58,2009-06-07,3.062,-153.18
59,2009-06-08,3.062,-152.38
60,2009-06-09,3.062,-151.77
61,2009-06-10,3.062,-150.98
62,2009-06-11,3.062,-150.15
63,2009-06-12,3.062,-149.33
64,2009-06-13,3.062,-148.52
65,2009-06-14,3.062,-147.58
66,2009-06-15,3.062,-146.84
67,2009-06-16,3.062,-145.97
68,2009-06-17,3.062,-145.3
69,2009-06-18,3.062,-144.49
70,2009-06-19,3.062,-143.63
