,Date,Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto
0,2015-03-13,0.0,5.7,255.956525
1,2015-03-14,5.8,7.1,289.54556139999994
2,2015-03-15,7.4,4.9,289.9186152
3,2015-03-16,8.6,7.5,290.08289560000003
4,2015-03-17,7.6,7.55,290.68877660000004
5,2015-03-18,0.0,8.4,285.417723
6,2015-03-19,0.0,9.75,282.2443597
7,2015-03-20,0.0,8.7,283.4899183
8,2015-03-21,0.0,7.95,283.9203937
9,2015-03-22,0.8,6.55,284.3272472
10,2015-03-23,0.0,9.15,284.5879713
11,2015-03-24,0.0,12.15,284.16886989999995
12,2015-03-25,37.3,10.25,282.4008892
13,2015-03-26,6.0,13.35,275.9375031
14,2015-03-27,10.8,12.0,273.9198491
15,2015-03-28,0.0,9.5,273.939755
16,2015-03-29,0.0,9.6,273.6624202
17,2015-03-30,0.0,10.6,278.0547162
18,2015-03-31,0.0,13.35,276.8946238
19,2015-04-01,0.0,12.05,275.05476860000005
20,2015-04-02,0.0,11.0,273.9272583
21,2015-04-03,0.0,9.45,273.877707
22,2015-04-04,12.3,7.65,273.92275750000005
23,2015-04-05,9.2,5.85,273.55611749999997
24,2015-04-06,0.0,5.3,273.8512721
25,2015-04-07,0.0,3.9,273.63014760000004
26,2015-04-08,0.0,5.8,273.40322630000003
27,2015-04-09,0.0,9.35,261.8903418
28,2015-04-10,0.0,10.8,277.0050769
29,2015-04-11,0.0,10.45,276.7164202
30,2015-04-12,0.0,11.7,276.891222
31,2015-04-13,0.0,13.75,276.88467169999996
32,2015-04-14,0.4,14.6,274.95283739999996
33,2015-04-15,0.0,15.25,273.6325181
34,2015-04-16,0.0,14.9,273.62845110000006
35,2015-04-17,0.2,14.35,273.8138785
36,2015-04-18,0.0,12.8,273.90091
37,2015-04-19,1.4,13.25,274.1168694
38,2015-04-20,0.2,11.8,274.1432099
39,2015-04-21,0.0,12.5,273.99298369999997
40,2015-04-22,0.0,14.6,274.14907569999997
41,2015-04-23,0.0,14.1,274.2687412
42,2015-04-24,0.2,14.9,274.1271984
43,2015-04-25,0.6,14.15,274.2048533
44,2015-04-26,0.0,14.95,274.23857410000005
45,2015-04-27,14.0,11.95,274.2566337
46,2015-04-28,8.2,10.2,274.1222673
47,2015-04-29,8.2,12.1,274.3879241
48,2015-04-30,18.8,11.4,274.44740210000003
